"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1101","9.8057441981321924E-1","1.6337321832930984E-24","-9.2677089939689602E-23","7.4476661897303158E-11","1.2996953834724079E+0","-2.0539686572397978E-19","4.6028651290841198E+0","3.5175444631213318E-2","1.5592056864062237E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1100","9.8053865097318893E-1","3.6951257762665743E-25","1.5385698388620773E-22","7.3118271005529372E-11","1.2965664912647605E+0","-3.0869020607535532E-19","4.5946469329553503E+0","3.5433769864893189E-2","1.5706563497174830E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1099","9.8048708818248842E-1","1.9592050215269419E-24","-2.8088631577423847E-23","6.4125780515798781E-11","1.2920966850656004E+0","5.8545598620501716E-20","4.5829398704694704E+0","3.5807237387136634E-2","1.5872108720689448E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1098","9.8043497185151174E-1","9.1595651155470224E-25","9.5535625131105497E-22","7.1401027500850803E-11","1.2876269267506184E+0","4.8997919184369285E-20","4.5712718787872699E+0","3.6186002142035587E-2","1.6040002024055017E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1097","9.8038229392133214E-1","5.2311216346101781E-25","-5.6487554953621046E-23","8.1235096995810643E-11","1.2831572174913906E+0","-1.7439114060940674E-19","4.5596429479549698E+0","3.6570159031122297E-2","1.6210285473835381E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1096","9.8032904618360917E-1","8.0574663929761476E-25","-6.0142290182098491E-22","6.5021998895935712E-11","1.2786875584976611E+0","1.2420211064756600E-19","4.5480530678769604E+0","3.6959805019626195E-2","1.6383002051359905E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1095","9.8027522027716241E-1","1.5215364310332043E-24","8.9114159657074693E-22","7.4969516391900214E-11","1.2742179510140750E+0","7.9939587982489367E-20","4.5365022283092697E+0","3.7355039189512051E-2","1.6558195676233442E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1094","9.8022080768448294E-1","-1.4643642278468543E-24","-7.4804005203200335E-22","7.1829445232883262E-11","1.2697483963186835E+0","7.3717220394307046E-20","4.5249904188617496E+0","3.7755962794025488E-2","1.6735911230514489E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1093","9.8016579972819595E-1","-1.7146106136037068E-24","1.4205313198061875E-22","6.9178558803346988E-11","1.2652788957318486E+0","-1.9849464574126158E-19","4.5135176289929797E+0","3.8162679313919499E-2","1.6916194583638436E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1092","9.8011018756733204E-1","-1.7039550118281542E-25","-6.7282683112725710E-22","7.3799403747930782E-11","1.2608094506090681E+0","-8.2416838259051867E-20","4.5020838480064702E+0","3.8575294515361062E-2","1.7099092618085585E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1091","9.8005396219358287E-1","-4.3754259529010738E-25","-5.0595557305737564E-22","6.4145218027004253E-11","1.2563400623465164E+0","1.2666023923555308E-19","4.4906890650506401E+0","3.8993916509548296E-2","1.7284653255807345E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1090","9.7999711442742266E-1","-1.4118996867349138E-24","9.1645875400097406E-22","7.6223898838336575E-11","1.2518707323836082E+0","-3.4584701525094339E-20","4.4793332691131500E+0","3.9418655814170415E-2","1.7472925485469332E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1089","9.7993963491406300E-1","4.3761877334219558E-25","4.4746018466740869E-22","7.4163878503048786E-11","1.2474014621942267E+0","8.2247133842108216E-20","4.4680164490207597E+0","3.9849625416702929E-2","1.7663959390507919E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1088","9.7988151411946500E-1","-2.7322538149336906E-25","1.6368669126977251E-21","6.6952784950711613E-11","1.2429322533065312E+0","-1.0583870347542493E-19","4.4567385934337098E+0","4.0286940839645263E-2","1.7857806178047819E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1087","9.7982274232601574E-1","5.0436339684533741E-25","-5.4174368637500204E-22","7.1818652178470939E-11","1.2384631072864052E+0","-1.2608814375130101E-19","4.4454996908439899E+0","4.0730720207758642E-2","1.8054518208706313E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1086","9.7976330962826130E-1","3.0109080554210645E-25","-4.5182776183062953E-22","6.7532556372141786E-11","1.2339940257486117E+0","1.6181028195235354E-19","4.4342997295729703E+0","4.1181084317350354E-2","1.8254149027304570E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1085","9.7970320592842042E-1","4.3938360708323844E-25","6.9882208329665781E-22","6.6890421567080188E-11","1.2295250103538835E+0","-7.5773771205335443E-20","4.4231386977662899E+0","4.1638156707724187E-2","1.8456753394539141E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1084","9.7964242093190068E-1","-1.3268168234498856E-24","5.3948613653774029E-22","6.9694704058525945E-11","1.2250560628240734E+0","6.8371996466353189E-22","4.4120165833917397E+0","4.2102063734817161E-2","1.8662387319622584E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1083","9.7958094414240937E-1","2.4911921936090608E-24","5.2841474248801304E-22","6.9394174941230684E-11","1.2205871849164069E+0","-1.4501423073432339E-19","4.4009333742369101E+0","4.2572934647143602E-2","1.8871108093946837E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1082","9.7951876485732325E-1","1.8583463713441835E-24","-1.0462295088784478E-21","6.3065736536204015E-11","1.2161183784575280E+0","8.1210595677914209E-20","4.3898890579034200E+0","4.3050901664115043E-2","1.9082974325799720E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1081","9.7945587216248686E-1","-1.7680381748055485E-24","-1.0236588284245051E-22","7.0352699422533481E-11","1.2116496453121612E+0","7.9625186694052124E-20","4.3788836218054303E+0","4.3536100056811099E-2","1.9298045976167869E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1080","9.7939225492732773E-1","7.3917201160047201E-25","-1.4082687936265949E-22","7.3312595666922959E-11","1.2071809874198904E+0","-2.2900894923075288E-20","4.3679170531653400E+0","4.4028668231284734E-2","1.9516384395663075E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1079","9.7932790179939477E-1","-1.2692104225835061E-25","1.1779374444591909E-21","6.7751812662869906E-11","1.2027124067697765E+0","-1.6534755177038754E-19","4.3569893390100303E+0","4.4528747814536446E-2","1.9738052362631664E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1078","9.7926280119900533E-1","-6.3719555933356271E-25","9.1799748618861221E-22","6.8900255514658970E-11","1.1982439054126079E+0","4.7885928593471279E-20","4.3461004661677096E+0","4.5036483743188485E-2","1.9963114122460709E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1077","9.7919694131369661E-1","-2.7750380044123496E-24","-1.5753059418232290E-22","7.2035853778395265E-11","1.1937754854678904E+0","-3.5402628384288288E-20","4.3352504212636003E+0","4.5552024355011281E-2","2.0191635428148527E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1076","9.7913031009241247E-1","-1.1391202405497685E-24","-2.7062766544448234E-23","7.7035865853146068E-11","1.1893071491168623E+0","-9.2954869883929346E-21","4.3244391907160402E+0","4.6075521483378928E-2","2.0423683582173530E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1075","9.7906289523965040E-1","6.2408477274821913E-25","-3.1699430564539241E-22","7.3140925054923826E-11","1.1848388986129759E+0","2.6236783126211588E-20","4.3136667607334003E+0","4.6607130554758527E-2","2.0659327479707856E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1074","9.7899468420929714E-1","1.2388055700103140E-24","5.3206904399598848E-22","7.2270715279927553E-11","1.1803707362750537E+0","5.9782994205071778E-21","4.3029331173085197E+0","4.7147010689376143E-2","2.0898637653239133E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1073","9.7892566419842053E-1","-7.7718464196954823E-26","-8.4208718361180198E-22","6.7361713236737037E-11","1.1759026644976041E+0","4.2405430930511794E-20","4.2922382462163702E+0","4.7695324805130244E-2","2.1141686318631683E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1072","9.7885582214081412E-1","-3.9594646011440298E-25","5.9566520904830395E-23","7.1317986870270783E-11","1.1714346857546811E+0","-7.8102691336378233E-20","4.2815821330075998E+0","4.8252239724915824E-2","2.1388547422699608E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1071","9.7878514470029676E-1","9.8930237673746923E-25","1.4671316466273080E-22","7.3023841016135887E-11","1.1669668025953550E+0","-3.5384112041539132E-20","4.2709647630067096E+0","4.8817926287447126E-2","2.1639296692330651E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1070","9.7871361826388226E-1","8.3998762264157729E-25","1.0347927143279997E-22","7.3776845952099823E-11","1.1624990176504364E+0","-4.3484920201256926E-20","4.2603861213057499E+0","4.9392559461759078E-2","2.1894011685240736E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1069","9.7864122893474670E-1","1.0005815720956341E-24","5.1325564001593083E-23","7.3050498330477769E-11","1.1580313336384445E+0","4.8022664010918952E-20","4.2498461927609696E+0","4.9976318465464249E-2","2.2152771842393165E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1068","9.7856796252484124E-1","8.8882236310584868E-26","1.5517814613769266E-22","7.3438359202947041E-11","1.1535637533552501E+0","4.7644412065222187E-20","4.2393449619875101E+0","5.0569386886974980E-2","2.2415658542175471E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1067","9.7849380454763546E-1","-7.0157591452271657E-25","8.3471686546115626E-24","7.3546772913753302E-11","1.1490962797072626E+0","-1.4452633520783632E-20","4.2288824133544001E+0","5.1171952811781267E-2","2.2682755156374027E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1066","9.7841874021009256E-1","-1.1051706248155976E-24","4.6276464757718610E-22","7.1281854018272713E-11","1.1446289156779474E+0","-4.6970787020713661E-20","4.2184585309808202E+0","5.1784208952971485E-2","2.2954147108029366E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1065","9.7834275440490781E-1","-1.1173691491345390E-24","9.1520376911518331E-22","7.4698437816687743E-11","1.1401616643570427E+0","-1.1612274011900233E-19","4.2080732987303300E+0","5.2406352786154985E-2","2.3229921931242686E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1064","9.7826583170217241E-1","4.2485726405914494E-26","7.9286906202849308E-23","7.1410430198055827E-11","1.1356945289296734E+0","-2.0062048791221533E-20","4.1977267002059797E+0","5.3038586688955155E-2","2.3510169333008313E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1063","9.7818795634101718E-1","2.5056454760218010E-24","-2.1161243527012989E-22","6.9523571151839053E-11","1.1312275126937681E+0","3.3370327804352327E-20","4.1874187187453700E+0","5.3681118085238198E-2","2.3794981257145317E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1062","9.7810911222079355E-1","-4.7743786359710778E-28","1.9163308575184211E-32","4.1838418012562352E-12","1.1267606190536945E+0","4.5882572586041600E-31","4.1771493374169504E+0","5.4334159594267517E-2","2.4084451950412483E-1","1.0000000000244300E+0","1.215058560962404E-2"
"1061","9.7802928289207058E-1","-2.5328526170965280E-28","-2.7125707639575107E-33","-1.1532853877641703E-12","1.1222938515291498E+0","3.1898335074535118E-30","4.1669185390070096E+0","5.4997929185034308E-2","2.4378678030917728E-1","1.0000000000243101E+0","1.215058560962404E-2"
"1060","9.7794845154731014E-1","-6.7694416534901292E-29","-3.6221682926237967E-33","-2.2578600467521636E-12","1.1178272137514238E+0","-3.2296400719915655E-30","4.1567263060260800E+0","5.5672650335799038E-2","2.4677758558837304E-1","1.0000000000147500E+0","1.215058560962404E-2"
"1059","9.7786660101138101E-1","1.7686071331307884E-28","1.2633837124445683E-32","-2.3536783178937172E-12","1.1133607094838813E+0","-3.4644128130033308E-30","4.1465726206949203E+0","5.6358552199272480E-2","2.4981795109634850E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1058","9.7778371373151352E-1","2.2249772615696470E-28","-2.1582546478837528E-33","8.5457620742689364E-13","1.1088943426095381E+0","1.8687320819880885E-30","4.1364574649415697E+0","5.7055869773503756E-2","2.5290891849810127E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1057","9.7769977176718403E-1","-9.9286922030007440E-25","-1.7047188683155737E-22","7.3781080722067172E-11","1.1044281171491701E+0","8.5553883459073098E-22","4.1263808203923604E+0","5.7764844078761791E-2","2.5605155615304459E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1056","9.7761475677950993E-1","-2.1334973147969127E-24","3.1238509977676777E-22","7.3212683315352181E-11","1.0999620372563470E+0","-5.6206928832891276E-20","4.1163426683754301E+0","5.8485722340576272E-2","2.5924695992636426E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1055","9.7752865002040068E-1","-1.1023500679027537E-28","4.4410317633388121E-32","2.4034993378884781E-12","1.0954961072330929E+0","3.3554394085465092E-30","4.1063429899028296E+0","5.9218758179379077E-2","2.6249625402963389E-1","1.0000000000000000E+0","1.215058560962404E-2"
"1054","9.7744143232117631E-1","-1.0421331302217796E-28","-5.6530040548558168E-32","-1.2017905732150769E-12","1.0910303315217520E+0","5.9429985112036751E-31","4.0963817656647796E+0","5.9964211806788979E-2","2.6580059189087663E-1","1.0000000000211400E+0","1.215058560962404E-2"
