"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1037","8.3690888734309465E-1","2.6569853876973453E-29","-6.5553023513506719E-32","6.0314258522129136E-16","5.2232242080210143E-5","5.1825223150917431E-31","3.1883411154606098E+0","2.6915795567917442E+0","1.1930840375619360E+1","1.3377103345065400E+3","1.215058560962404E-2"
"1036","8.3684204873514156E-1","1.4410084690916510E-29","-3.7102833491614354E-33","-9.6147362765644370E-16","6.1215155075102022E-4","-2.1378421884817237E-33","3.1883408033221099E+0","2.6915806538240439E+0","1.1930845238383760E+1","1.3377066725778200E+3","1.215058560962404E-2"
"1035","8.3710989601132491E-1","7.1114530826166564E-29","-2.6196126706944842E-33","6.4670840542534522E-17","-1.6283286394573081E-3","-1.8374739944878587E-32","3.1883388951014600E+0","2.6915873604623064E+0","1.1930874966589405E+1","1.3376842860640299E+3","1.215058560962404E-2"
"1034","8.3664202431832047E-1","2.0314076449356725E-29","-4.9967561216448551E-33","5.5746560608309100E-16","2.2911089023529129E-3","1.9886684288793230E-32","3.1883367101395899E+0","2.6915950398332100E+0","1.1930909006582093E+1","1.3376586532633801E+3","1.215058560962404E-2"
"1033","8.3731164608384867E-1","7.5905328091834955E-29","6.0606725486870910E-33","-6.0144552307473719E-16","-3.3100974910474077E-3","-2.1902798159775552E-32","3.1883319396179202E+0","2.6916118068982122E+0","1.1930983329176646E+1","1.3376026892295299E+3","1.215058560962404E-2"
"1032","8.3644273483789033E-1","7.5262995196428759E-29","3.1226889880158985E-33","5.1575846666383367E-16","3.9688689985405926E-3","-1.4725464752524829E-32","3.1883278818659502E+0","2.6916260691668521E+0","1.1931046548876063E+1","1.3375550881705101E+3","1.215058560962404E-2"
"1031","8.3751414028557547E-1","-7.4871210954987371E-29","3.2289536773302333E-33","4.0497256001222210E-16","-4.9930788146243165E-3","1.3134738777218076E-32","3.1883202491226998E+0","2.6916528978637002E+0","1.1931165471201348E+1","1.3374655524859500E+3","1.215058560962404E-2"
"1030","8.3624417747524971E-1","-7.1433455661978626E-30","1.1940142643194926E-33","6.9072092799960271E-16","5.6454365198057776E-3","6.8205003421151095E-33","3.1883143186379499E+0","2.6916737440903544E+0","1.1931257875307336E+1","1.3373959879980200E+3","1.215058560962404E-2"
"1029","8.3771738131291684E-1","3.8519046007592203E-29","-5.6951760901859172E-33","-2.4457035058097385E-17","-6.6772770571494160E-3","-1.6306504654380805E-32","3.1883038238074302E+0","2.6917106363197774E+0","1.1931421405788626E+1","1.3372728900879399E+3","1.215058560962404E-2"
"1028","8.3604634938403244E-1","3.7488286111997926E-30","-1.7452976049681290E-33","4.0923797170863948E-17","7.3208161988254855E-3","-4.6348096560831645E-33","3.1882960206632398E+0","2.6917380680908947E+0","1.1931543001333365E+1","1.3371813691800901E+3","1.215058560962404E-2"
"1027","8.3792137183358573E-1","-5.0165899909724659E-29","1.8861277056683932E-33","-6.0029657232794168E-16","-8.3626966099554778E-3","8.9317117060789543E-33","3.1882826639445301E+0","2.6917850264171794E+0","1.1931751151337252E+1","1.3370247221882901E+3","1.215058560962404E-2"
"1026","8.3584924769024216E-1","-1.7082067673963648E-29","5.4219912030548176E-33","-3.7809449808778201E-16","8.9950128198304606E-3","1.2760790514334490E-32","3.1882729882185301E+0","2.6918190458867763E+0","1.1931901947868756E+1","1.3369112537963899E+3","1.215058560962404E-2"
"1025","8.3812611448637975E-1","8.5123759523895681E-29","-5.3818128061437118E-33","3.5577784751505583E-16","-1.0049341808078814E-2","-2.2062618371713350E-33","3.1882567698891999E+0","2.6918760734887464E+0","1.1932154731485866E+1","1.3367210747366000E+3","1.215058560962404E-2"
"1024","8.3565286949237461E-1","8.9472643920670285E-29","-4.2002881693017059E-33","5.8335553272068906E-16","1.0668031217980080E-2","6.1011800840164271E-33","3.1882452216478701E+0","2.6919166834337411E+0","1.1932334741313246E+1","1.3365856696062599E+3","1.215058560962404E-2"
"1023","8.3833161188095662E-1","1.6687889670519925E-29","-3.3064128775776680E-33","1.1854442849326768E-15","-1.1737216929595954E-2","5.4358385265075041E-33","3.1882261420813802E+0","2.6919837840452425E+0","1.1932632175094428E+1","1.3363619795471000E+3","1.215058560962404E-2"
"1022","8.3545721186152810E-1","-1.9899421828029305E-29","-1.5676201644734018E-33","-1.7160839206851629E-16","1.2339876278741675E-2","1.2770782216316479E-32","3.1882127213608800E+0","2.6920309879329221E+0","1.1932841413586967E+1","1.3362046499696701E+3","1.215058560962404E-2"
"1021","8.3853786659759300E-1","-1.6167942253317705E-28","-1.7073761572106020E-33","1.5424870489505224E-17","-1.3426326194941569E-2","7.6257139724283764E-33","3.1881907810477101E+0","2.6921081657681882E+0","1.1933183516212459E+1","1.3359474743176700E+3","1.215058560962404E-2"
"1020","8.3526227184150159E-1","-7.3602352642090077E-29","5.0001062805446986E-33","-4.8676033136712828E-16","1.4010552937277985E-2","-2.2188513816686417E-33","3.1881754878310300E+0","2.6921619678379001E+0","1.1933422002161718E+1","1.3357682339255200E+3","1.215058560962404E-2"
