"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1076","1.1557263275171750E+0","-3.3407000341693311E-29","2.9544387183411783E-32","1.0276270277831772E-15","-2.3962431469475191E-4","2.1064750033507941E-32","3.1721604179407801E+0","3.3732582162214264E+0","1.4952485882102529E+1","7.2677622564905096E+2","1.215058560962404E-2"
"1075","1.1556291769382454E+0","5.6264063775153895E-29","-1.0024870024465833E-32","-1.2188741544555393E-16","2.8741532300028522E-4","-4.9058310458615757E-32","3.1721603990894902E+0","3.3732582518188354E+0","1.4952486039893518E+1","7.2677610478163297E+2","1.215058560962404E-2"
"1074","1.1554345606904870E+0","4.4853294724631354E-28","-8.6496547753350234E-34","-1.3132305522085993E-16","1.3420893716404015E-3","-2.4828732903350816E-32","3.1721591127524200E+0","3.3732606806024101E+0","1.4952496805850283E+1","7.2676785661173994E+2","1.215058560962404E-2"
"1073","1.1552395244552436E+0","1.7137669955595820E-28","3.9944003337551823E-33","-2.8151123123856910E-16","2.3975580828067885E-3","1.4837736217971865E-32","3.1721561615769800E+0","3.3732662529646640E+0","1.4952521506203055E+1","7.2674893354303595E+2","1.215058560962404E-2"
"1072","1.1550440683993406E+0","-2.9692276767157662E-28","3.9453263833442288E-35","-3.4422971092969361E-16","3.4538234003618604E-3","7.1141564633657792E-33","3.1721515455814302E+0","3.3732749691648816E+0","1.4952560142101152E+1","7.2671933626360806E+2","1.215058560962404E-2"
"1071","1.1548481926987610E+0","6.4641868845677465E-29","2.3660100500801453E-33","-4.1080763777865101E-16","4.5108872521513691E-3","-1.5469458637047271E-32","3.1721452647946999E+0","3.3732868296167622E+0","1.4952612715378361E+1","7.2667906588466496E+2","1.215058560962404E-2"
"1070","1.1546518975387068E+0","-9.9734852813825615E-29","3.8879181779859454E-33","1.7701967087265127E-16","5.5687515499551216E-3","-3.1515664761117866E-34","3.1721373192566200E+0","3.3733018348810155E+0","1.4952679228520116E+1","7.2662812390782801E+2","1.215058560962404E-2"
"1069","1.1544551831136594E+0","2.6176603498733634E-28","4.4375029292976436E-33","8.1403818651086707E-16","6.6274181894460781E-3","-3.7731017672693784E-33","3.1721277090181901E+0","3.3733199856651774E+0","1.4952759684662672E+1","7.2656651223796905E+2","1.215058560962404E-2"
"1068","1.1542580496274415E+0","1.6317663604620746E-29","-1.1049162006309788E-33","8.3345450015902267E-16","7.6868890501350182E-3","4.4967184572203163E-33","3.1721164341418202E+0","3.3733412828235649E+0","1.4952854087592929E+1","7.2649423321256802E+2","1.215058560962404E-2"
"1067","1.1540604972932760E+0","-3.7193095813066456E-28","3.7618287764449927E-33","3.1007769831548153E-16","8.7471659953308276E-3","-5.2416233498646458E-33","3.1721034947016302E+0","3.3733657273577986E+0","1.4952962441750717E+1","7.2641128952876602E+2","1.215058560962404E-2"
"1066","1.1538625263338469E+0","1.1581130480133348E-28","-2.3437270852923703E-33","-3.7692481834377286E-17","9.8082508720953466E-3","1.0146161939687492E-32","3.1720888907836602E+0","3.3733933204151727E+0","1.4953084752221599E+1","7.2631768431818898E+2","1.215058560962404E-2"
"1065","1.1536641369813607E+0","2.1415703016704237E-28","6.6434532604660106E-34","1.2897801744559473E-15","1.0870145511202602E-2","4.5778099350117918E-33","3.1720726224861902E+0","3.3734240632885819E+0","1.4953221024736527E+1","7.2621342112588502E+2","1.215058560962404E-2"
"1064","1.1534653294776074E+0","2.8588670308209841E-28","2.3096201167032617E-33","2.2698563547220220E-15","1.1932851727091413E-2","-9.1964918086016745E-33","3.1720546899199502E+0","3.3734579574170054E+0","1.4953371265673997E+1","7.2609850389879796E+2","1.215058560962404E-2"
"1063","1.1532661040740202E+0","-1.7798945327094225E-28","8.5372040469994864E-34","2.6968499401600437E-15","1.2996371317837103E-2","-1.0535911785382007E-33","3.1720350932084300E+0","3.3734950043835505E+0","1.4953535482051381E+1","7.2597293699686702E+2","1.215058560962404E-2"
"1062","1.1530664610317380E+0","-1.8314017741177680E-28","-1.8742170091586864E-33","1.3729304044809074E-15","1.4060706065106699E-2","1.6456215614901532E-33","3.1720138324881000E+0","3.3735352059166339E+0","1.4953713681530143E+1","7.2583672518070102E+2","1.215058560962404E-2"
